KTS	S	FD	KD	LT
10	3	0	8	8
10	5	0	8	8
13	15	0	9	9
13	10	0	10	10
13	12	0	9	9
15	11	0	12	12
15	18	0	10	10
16	16	0	12	12
18	20	0	11	11
18	1	0	17	17
18	7	0	15	15
21	32	0	11	11
22	42	0	6	6
22	24	0	15	15
23	23	0	16	16
23	8	0	20	20
23	31	0	13	13
24	29	0	15	15
24	9	0	21	21
25	25	0	18	18
27	4	0	25	25
28	40	0	12	12
29	66	0	4	4
30	45	0	12	12
30	44	0	12	12
31	55	0	9	9
31	59	0	8	8
31	35	0	21	21
32	46	0	13	13
33	68	0	8	8
34	50	0	14	14
34	67	0	9	9
35	48	0	16	16
35	82	0	6	6
35	51	0	15	15
35	57	0	13	13
35	61	0	12	12
35	27	0	27	27
35	36	0	23	23
36	22	0	29	29
36	76	0	10	10
36	87	0	5	5
36	91	0	5	5
36	85	0	6	6
36	39	0	22	22
36	30	0	27	27
36	38	0	23	23
37	80	0	9	9
38	47	0	19	19
38	54	0	17	17
38	77	0	12	12
38	72	0	12	12
39	90	0	8	8
39	21	0	32	32
39	58	0	17	17
39	52	0	19	19
39	64	0	16	16
39	71	0	14	14
40	19	0	35	35
40	33	0	30	30
40	88	0	9	9
40	60	0	17	17
41	93	0	9	9
41	13	0	37	37
41	95	0	9	9
41	105	0	5	5
41	83	0	11	11
41	99	0	8	8
41	26	0	33	33
42	65	0	18	18
42	106	0	6	6
42	43	0	25	25
42	6	0	39	39
42	14	0	38	38
42	75	0	16	16
43	37	0	31	31
43	104	0	8	8
43	98	0	10	10
44	96	0	12	12
44	92	0	12	12
44	102	0	9	9
45	69	0	20	20
45	79	0	17	17
45	115	0	7	7
46	2	0	44	44
46	41	0	30	30
46	117	0	7	7
48	17	0	44	44
48	113	0	10	10
48	120	0	6	6
49	103	0	14	14
50	109	0	13	13
50	73	0	24	24
50	135	0	3	3
50	81	0	21	21
51	133	0	5	5
51	70	0	26	26
51	131	0	6	6
52	116	0	14	14
52	119	0	11	11
53	130	0	8	8
53	101	0	19	19
53	112	0	16	16
54	134	0	8	8
54	110	0	17	17
54	124	0	11	11
55	89	0	24	24
56	114	0	18	18
56	56	0	34	34
56	137	0	9	9
57	118	0	18	18
57	74	0	31	31
58	122	0	16	16
59	138	0	11	11
59	149	0	7	7
59	154	0	5	5
59	108	0	23	23
59	141	0	9	9
59	107	0	23	23
59	84	0	29	29
59	94	0	27	27
59	143	0	9	9
59	147	0	7	7
60	157	0	6	6
60	145	0	8	8
60	144	0	8	8
60	34	0	50	50
60	126	0	16	16
60	142	0	10	10
61	127	0	16	16
61	78	0	33	33
61	121	0	19	19
61	111	0	24	24
61	63	0	38	38
62	156	0	8	8
62	53	0	42	42
63	162	0	7	7
63	165	0	6	6
63	28	0	55	55
64	160	0	9	9
64	140	0	14	14
64	86	0	34	34
65	128	0	20	20
65	129	0	20	20
65	153	0	11	11
65	155	0	11	11
65	168	0	8	8
65	185	0	4	4
65	167	0	8	8
66	164	0	9	9
67	97	0	34	34
67	174	0	8	8
67	181	0	7	7
68	172	0	10	10
68	49	0	48	48
68	125	0	25	25
69	158	0	14	14
69	176	0	10	10
69	178	0	10	10
69	188	0	5	5
69	182	0	9	9
69	179	0	9	9
69	183	0	9	9
70	173	0	11	11
70	195	0	5	5
71	196	0	6	6
71	177	0	12	12
71	170	0	13	13
71	180	0	11	11
72	186	0	9	9
72	175	0	13	13
72	150	0	19	19
72	148	0	20	20
72	192	0	7	7
72	166	0	15	15
72	193	0	7	7
73	190	0	9	9
73	187	0	9	9
73	202	0	4	4
74	100	0	41	41
74	184	0	13	13
75	123	0	32	32
75	163	0	19	19
75	151	0	22	22
75	159	0	20	20
75	199	0	8	8
76	132	0	30	30
76	198	0	10	10
76	197	0	10	10
77	194	0	12	12
77	205	0	6	6
78	136	0	31	31
78	161	0	23	23
78	171	0	20	20
78	206	0	7	7
79	204	0	9	9
79	139	0	29	29
79	62	0	56	56
80	208	0	8	8
80	207	0	8	8
80	152	0	26	26
82	201	0	13	13
82	214	0	8	8
83	220	0	5	5
83	217	0	7	7
83	218	0	7	7
83	213	0	9	9
84	226	0	5	5
85	169	0	28	28
86	211	0	13	13
86	233	0	5	5
86	212	0	13	13
87	221	0	9	9
87	228	0	8	8
87	222	0	9	9
88	200	0	19	19
88	230	0	8	8
88	232	0	7	7
88	239	0	4	4
88	203	0	19	19
88	238	0	5	5
88	229	0	8	8
89	225	0	10	10
89	209	0	17	17
89	210	0	17	17
89	216	0	15	15
90	231	0	10	10
91	189	0	27	27
91	223	0	13	13
91	240	0	6	6
92	236	0	9	9
93	234	0	11	11
95	258	0	4	4
96	227	0	17	17
96	245	0	8	8
96	246	0	7	7
97	244	0	9	9
97	249	0	8	8
97	256	0	6	6
98	248	0	9	9
98	260	0	7	7
98	191	0	34	34
99	146	0	47	47
99	263	0	7	7
100	219	0	22	22
100	241	0	14	14
100	255	0	10	10
100	243	0	13	13
101	247	0	12	12
101	259	0	10	10
101	235	0	19	19
101	250	0	12	12
101	251	0	11	11
101	257	0	10	10
101	262	0	9	9
102	261	0	10	10
103	264	0	11	11
105	266	0	12	12
106	254	0	16	16
107	215	0	33	33
111	242	0	24	24
111	253	0	21	21
112	252	0	22	22
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
408.000000	408.000000	408.000000	408.000000	
