KTS	S	FD	KD	LT
7	6	0	6	6
7	11	0	4	4
9	5	0	8	8
10	7	0	8	8
11	8	0	9	9
13	10	0	10	10
13	16	0	10	10
13	13	0	10	10
14	14	0	11	11
15	34	0	7	7
15	30	0	7	7
16	4	0	15	15
18	40	0	9	9
19	28	0	12	12
20	15	0	17	17
20	33	0	12	12
20	63	0	7	7
21	3	0	20	20
21	17	0	18	18
21	59	0	9	9
22	61	0	10	10
22	66	0	9	9
22	48	5	6	11
23	26	0	16	16
23	58	0	11	11
23	36	0	14	14
23	25	0	16	16
23	50	8	4	12
24	23	0	18	18
25	21	0	20	20
25	37	0	16	16
25	64	0	12	12
26	43	0	16	16
26	20	0	21	21
26	1	0	25	25
26	32	0	18	18
27	49	0	16	16
27	53	0	16	16
27	31	0	19	19
28	2	0	27	27
28	24	0	21	21
28	45	0	18	18
28	44	11	7	18
28	62	11	4	15
29	39	0	20	20
29	27	0	22	22
29	52	0	18	18
29	29	0	22	22
30	54	11	7	18
31	18	0	27	27
31	56	11	8	19
32	46	0	21	21
33	41	0	24	24
34	47	0	23	23
35	35	0	27	27
35	22	0	30	30
36	38	0	27	27
36	12	0	33	33
36	60	12	12	24
39	65	0	26	26
39	51	13	15	28
41	9	0	39	39
41	55	0	29	29
44	42	0	35	35
45	57	12	21	33
47	19	0	43	43
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
56.227680	79.133450	12.294932	56.447922	
R1_Unpaved_Dist	R2_Unpaved_Dist	R3_Unpaved_Dist	R4_Unpaved_Dist	
19		22		12		10		
Game is Win
Total Enemies = 66
Average First-Shot Delay = 1.424242
Average Kill Delay = 16.636364
