KTS	S	FD	KD	LT
14	12	0	8	8
16	16	0	9	9
17	20	0	9	9
17	11	0	11	11
19	10	0	13	13
25	47	0	11	11
27	30	0	16	16
28	24	0	19	19
28	31	0	17	17
28	51	0	13	13
29	1	0	27	27
29	26	0	19	19
30	45	0	16	16
30	48	0	16	16
30	38	0	18	18
30	44	0	17	17
30	59	0	11	11
31	39	0	19	19
31	66	0	10	10
32	53	0	17	17
32	68	0	10	10
33	54	0	16	16
33	37	0	21	21
33	2	0	31	31
34	29	0	23	23
34	42	0	21	21
34	60	7	8	15
35	8	0	30	30
35	9	0	30	30
35	41	0	22	22
35	43	0	22	22
35	52	0	20	20
35	56	0	18	18
35	72	0	12	12
35	83	0	8	8
35	70	9	4	13
35	71	12	1	13
36	18	0	28	28
36	28	0	26	26
37	33	0	26	26
37	57	0	19	19
38	21	0	29	29
39	49	0	25	25
39	81	0	14	14
40	86	6	5	11
41	93	0	8	8
42	108	0	6	6
42	95	0	9	9
42	34	0	31	31
42	97	0	9	9
42	94	3	6	9
43	62	0	24	24
43	87	0	13	13
43	96	0	10	10
43	107	0	7	7
43	113	0	6	6
44	15	0	37	37
44	106	0	8	8
45	82	0	20	20
45	103	0	10	10
45	115	6	2	8
45	69	8	15	23
46	64	0	26	26
46	88	0	15	15
46	84	0	19	19
46	111	0	9	9
48	122	0	9	9
48	7	0	43	43
49	129	2	6	8
49	131	3	5	8
49	90	4	13	17
50	85	0	21	21
51	134	0	8	8
51	77	11	16	27
52	126	0	12	12
53	135	0	10	10
53	120	4	10	14
54	40	0	41	41
54	142	0	8	8
54	98	0	21	21
55	13	0	48	48
55	25	0	45	45
55	50	0	40	40
55	99	0	21	21
56	130	0	15	15
56	143	0	10	10
56	148	0	9	9
56	101	0	22	22
57	117	0	19	19
57	145	0	11	11
58	67	0	36	36
58	133	0	15	15
58	102	0	23	23
58	141	0	13	13
59	127	0	19	19
59	105	0	23	23
59	63	0	39	39
59	91	0	27	27
60	35	0	48	48
60	144	0	14	14
61	22	0	52	52
62	76	32	6	38
63	149	0	16	16
64	100	27	3	30
65	104	0	29	29
65	80	0	40	40
65	114	26	2	28
67	5	0	64	64
67	109	27	4	31
68	32	0	57	57
68	3	0	66	66
68	119	0	30	30
68	137	0	24	24
68	75	32	12	44
68	78	35	8	43
69	92	0	37	37
69	17	0	61	61
69	19	0	61	61
69	73	28	18	46
70	58	0	51	51
70	121	26	5	31
70	124	26	4	30
71	36	0	59	59
71	6	0	66	66
71	14	0	64	64
71	79	0	46	46
72	139	24	3	27
73	4	0	70	70
73	125	28	5	33
74	118	0	36	36
75	46	0	61	61
76	89	0	44	44
76	112	0	39	39
76	123	0	36	36
77	55	0	60	60
77	74	0	53	53
82	65	0	61	61
85	27	0	75	75
86	136	0	42	42
88	110	0	51	51
88	138	23	20	43
90	132	0	48	48
91	128	0	50	50
93	140	0	48	48
93	146	0	47	47
95	116	0	57	57
96	147	0	50	50
97	61	0	78	78
119	23	0	110	110
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
856.000000	322.677795	856.000000	856.000000	
R1_Unpaved_Dist	R2_Unpaved_Dist	R3_Unpaved_Dist	R4_Unpaved_Dist	
2		2		2		2		
Game is Win
Total Enemies = 149
Average First-Shot Delay = 2.744966
Average Kill Delay = 25.530201
