KTS	S	FD	KD	LT
13	6	0	12	12
16	21	0	11	11
18	1	0	17	17
20	13	0	18	18
20	52	0	9	9
23	58	0	12	12
26	18	0	23	23
26	31	0	18	18
27	39	0	19	19
28	53	0	17	17
29	15	0	26	26
29	23	0	24	24
30	4	0	29	29
30	51	0	20	20
30	37	0	22	22
31	9	0	29	29
31	42	0	22	22
32	19	0	29	29
32	24	0	26	26
32	3	0	31	31
33	48	0	24	24
33	56	0	22	22
34	66	0	20	20
35	25	0	29	29
35	65	17	4	21
35	68	17	4	21
36	153	0	9	9
36	12	0	34	34
36	29	0	29	29
37	8	0	35	35
37	46	0	28	28
37	59	0	26	26
37	27	0	30	30
37	90	0	17	17
37	89	16	1	17
37	87	18	1	19
38	69	0	24	24
38	146	11	0	11
38	84	16	4	20
38	81	18	4	22
39	49	0	30	30
39	106	0	18	18
39	22	0	34	34
39	47	0	30	30
39	33	0	31	31
39	92	1	18	19
39	79	17	6	23
39	97	17	2	19
40	82	0	24	24
40	16	0	37	37
40	61	0	27	27
40	177	7	0	7
40	164	8	1	9
40	165	8	1	9
40	154	9	1	10
40	170	9	0	9
40	138	13	2	15
40	113	15	3	18
40	117	16	2	18
41	95	0	21	21
41	104	0	20	20
41	28	0	34	34
41	94	0	21	21
42	142	13	4	17
42	120	15	4	19
42	64	16	12	28
44	141	0	19	19
45	150	0	18	18
45	45	0	36	36
46	34	0	38	38
46	70	0	32	32
46	74	0	31	31
46	99	0	25	25
46	100	0	25	25
47	11	0	45	45
47	85	0	29	29
47	123	15	9	24
47	124	16	8	24
47	125	18	6	24
47	148	20	0	20
48	54	0	37	37
48	60	0	37	37
48	26	0	42	42
48	143	21	1	22
48	152	21	0	21
48	133	22	2	24
48	140	22	1	23
49	149	21	1	22
50	206	6	1	7
50	183	13	1	14
50	175	15	2	17
50	179	15	2	17
51	202	7	2	9
51	162	18	3	21
52	208	0	9	9
52	205	6	3	9
52	167	17	4	21
52	137	23	5	28
53	134	0	29	29
53	128	18	11	29
53	130	22	7	29
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
1000.000000	1000.000000	1000.000000	1000.000000	
R1_Unpaved_Dist	R2_Unpaved_Dist	R3_Unpaved_Dist	R4_Unpaved_Dist	
2		2		2		2		
Game is Loss
Killed Enemies = 101
Active Enemies = 133
Inactive Enemies = 0
Average First-Shot Delay = 6.069307
Average Kill Delay = 16.465347
