KTS	S	FD	KD	LT
9	4	0	8	8
11	18	0	5	5
12	13	0	8	8
12	7	0	10	10
12	14	0	7	7
13	12	0	9	9
16	26	0	9	9
16	30	0	6	6
18	9	0	14	14
19	17	0	13	13
19	6	0	18	18
20	27	0	12	12
22	57	0	5	5
23	48	0	8	8
23	10	0	19	19
23	11	0	19	19
24	33	0	14	14
24	42	0	10	10
25	1	0	24	24
26	44	0	12	12
27	40	0	16	16
27	49	0	12	12
27	60	0	9	9
27	72	0	5	5
27	16	0	21	21
28	31	0	18	18
28	53	0	12	12
28	74	0	6	6
28	15	0	23	23
28	34	0	18	18
29	25	0	22	22
29	35	0	19	19
29	28	0	21	21
30	29	0	21	21
30	45	0	16	16
30	2	0	29	29
30	8	0	26	26
30	43	6	10	16
30	52	8	6	14
31	19	0	25	25
31	21	0	24	24
31	37	6	14	20
31	51	8	7	15
32	50	0	17	17
32	39	0	21	21
32	63	5	7	12
33	62	0	13	13
33	32	0	23	23
33	79	1	8	9
34	76	0	11	11
34	90	4	1	5
35	22	0	28	28
36	41	0	23	23
36	54	0	19	19
36	75	6	7	13
37	78	8	5	13
38	77	0	15	15
39	69	0	17	17
39	59	0	21	21
40	110	0	3	3
40	109	0	3	3
40	67	8	11	19
41	64	0	21	21
42	116	0	4	4
42	66	0	22	22
43	24	0	36	36
44	87	0	15	15
44	111	0	7	7
45	56	0	28	28
45	58	0	28	28
45	114	0	7	7
45	73	6	17	23
47	103	0	14	14
47	118	0	9	9
49	105	0	15	15
50	123	0	9	9
50	130	0	8	8
51	106	0	15	15
51	121	0	12	12
51	120	0	12	12
51	81	0	26	26
52	140	0	7	7
53	115	0	15	15
53	137	0	9	9
53	141	0	8	8
53	150	0	6	6
54	138	0	9	9
54	119	0	16	16
55	113	0	18	18
55	108	0	18	18
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
352.000000	352.000000	352.000000	352.000000	
R1_Unpaved_Dist	R2_Unpaved_Dist	R3_Unpaved_Dist	R4_Unpaved_Dist	
4		2		2		4		
Game is Loss
Killed Enemies = 90
Active Enemies = 108
Inactive Enemies = 102
Average First-Shot Delay = 0.733333
Average Kill Delay = 14.155556
