KTS	S	FD	KD	LT
22	20	0	17	17
26	44	0	13	13
27	16	0	23	23
27	32	0	18	18
27	37	0	16	16
28	29	0	19	19
29	21	0	24	24
29	35	0	18	18
29	25	0	21	21
31	30	0	22	22
31	33	0	21	21
31	5	0	29	29
32	70	0	12	12
32	40	0	20	20
32	63	0	13	13
33	15	0	29	29
33	31	0	24	24
33	26	0	25	25
33	27	0	25	25
33	36	0	22	22
34	11	0	31	31
34	62	0	15	15
34	14	0	30	30
34	43	0	21	21
34	45	0	21	21
34	13	0	31	31
34	17	0	30	30
35	3	0	34	34
35	28	0	27	27
35	9	0	32	32
35	1	0	34	34
35	2	0	34	34
35	61	15	1	16
35	54	17	2	19
36	12	0	33	33
36	60	0	17	17
37	19	0	32	32
37	64	0	18	18
37	69	15	2	17
37	55	16	4	20
40	47	0	26	26
40	71	15	4	19
41	23	0	35	35
41	59	0	24	24
41	22	0	35	35
41	39	0	29	29
41	53	0	25	25
41	68	14	7	21
42	52	0	26	26
42	4	0	40	40
42	46	0	28	28
42	65	0	23	23
42	38	0	31	31
42	34	0	32	32
43	6	0	41	41
43	42	0	30	30
43	51	16	11	27
44	66	0	24	24
44	67	0	24	24
44	56	0	27	27
45	57	0	28	28
47	58	0	30	30
48	10	0	45	45
51	18	0	46	46
54	48	0	40	40
54	8	0	51	51
55	50	0	39	39
59	7	0	57	57
63	24	0	56	56
66	49	14	36	50
73	41	0	60	60
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
281.413722	752.732658	176.073840	200.593737	
R1_Unpaved_Dist	R2_Unpaved_Dist	R3_Unpaved_Dist	R4_Unpaved_Dist	
2		2		2		2		
Game is Win
Total Enemies = 71
Average First-Shot Delay = 1.718310
Average Kill Delay = 26.338028
