KTS	S	FD	KD	LT
6	2	0	5	5
12	3	0	11	11
12	17	0	6	6
17	11	0	14	14
17	9	0	14	14
20	23	0	13	13
24	22	0	18	18
24	27	12	3	15
27	5	0	25	25
27	30	15	2	17
28	21	0	22	22
28	37	14	3	17
29	19	0	23	23
29	13	0	26	26
29	16	0	24	24
30	39	17	1	18
31	29	0	21	21
31	61	0	14	14
32	1	0	31	31
32	65	13	0	13
32	43	17	3	20
33	12	0	30	30
33	31	22	1	23
34	6	0	32	32
34	54	16	4	20
35	4	0	33	33
35	51	16	5	21
36	40	0	24	24
36	106	0	6	6
36	8	0	34	34
36	10	0	33	33
36	60	0	19	19
36	99	0	8	8
36	20	1	29	30
36	28	20	6	26
36	32	24	2	26
37	74	0	16	16
37	15	0	33	33
37	45	0	24	24
37	47	24	0	24
37	48	24	0	24
37	49	24	0	24
37	14	34	0	34
38	66	19	0	19
38	50	23	1	24
38	52	24	0	24
38	35	25	2	27
39	94	0	13	13
39	67	18	1	19
39	64	19	1	20
39	71	19	0	19
39	53	24	1	25
39	41	25	2	27
39	18	31	2	33
40	105	10	0	10
40	86	15	1	16
40	58	15	9	24
40	79	16	1	17
41	87	10	6	16
41	62	22	1	23
41	55	24	1	25
41	56	24	1	25
42	123	7	1	8
42	83	9	9	18
42	97	12	2	14
43	33	0	33	33
43	111	10	2	12
43	70	22	1	23
44	104	10	4	14
44	72	21	2	23
44	73	23	0	23
44	63	24	2	26
47	125	8	4	12
47	75	24	2	26
48	68	0	28	28
48	98	13	7	20
48	84	21	3	24
48	85	21	3	24
48	88	23	0	23
49	137	0	9	9
49	93	11	12	23
49	80	16	10	26
50	127	8	6	14
50	128	12	2	14
50	96	22	1	23
51	117	19	0	19
52	122	8	11	19
52	110	11	10	21
52	134	12	1	13
52	118	20	0	20
52	100	21	3	24
52	95	22	3	25
53	131	11	3	14
54	126	7	11	18
54	112	12	11	23
54	120	20	1	21
55	160	4	2	6
55	148	6	4	10
55	81	10	22	32
55	135	14	2	16
55	113	24	0	24
56	150	0	11	11
56	114	25	0	25
57	121	24	0	24
58	164	0	8	8
58	147	0	13	13
58	116	24	2	26
59	153	0	13	13
59	139	19	0	19
59	130	20	1	21
59	129	21	2	23
60	158	13	0	13
60	144	16	0	16
60	46	24	23	47
61	162	12	0	12
62	141	17	2	19
65	167	2	12	14
65	156	14	5	19
66	92	10	30	40
68	173	0	13	13
69	188	2	6	8
70	186	1	8	9
70	192	3	3	6
73	181	1	12	13
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
850.000000	850.000000	850.000000	850.000000	
R1_Unpaved_Dist	R2_Unpaved_Dist	R3_Unpaved_Dist	R4_Unpaved_Dist	
2		2		2		2		
Game is Loss
Killed Enemies = 124
Active Enemies = 115
Inactive Enemies = 10
Average First-Shot Delay = 11.629032
Average Kill Delay = 8.483871
