KTS	S	FD	KD	LT
11	5	0	9	9
27	36	0	13	13
27	16	0	21	21
28	15	0	22	22
29	18	0	22	22
30	10	0	26	26
31	13	0	25	25
32	2	0	31	31
32	49	0	15	15
33	22	0	24	24
33	25	0	23	23
33	44	0	18	18
34	31	0	21	21
34	30	0	22	22
34	65	0	10	10
35	3	0	34	34
35	26	0	25	25
35	45	0	19	19
35	54	0	17	17
35	59	0	12	12
35	9	0	31	31
35	57	0	13	13
36	11	0	32	32
36	21	0	28	28
36	56	0	15	15
37	23	0	28	28
38	74	0	9	9
38	32	0	25	25
38	53	0	20	20
38	62	0	14	14
39	35	0	25	25
39	61	0	15	15
39	60	0	15	15
39	76	0	9	9
39	12	0	33	33
40	55	0	19	19
40	77	0	10	10
40	58	0	18	18
40	33	0	27	27
40	4	0	38	38
41	38	0	27	27
41	41	0	26	26
41	47	0	24	24
41	68	0	15	15
41	78	0	11	11
42	75	0	13	13
42	71	0	14	14
43	73	0	14	14
43	70	0	17	17
43	98	0	5	5
43	89	0	9	9
44	7	0	42	42
45	39	0	31	31
45	92	0	10	10
45	104	0	5	5
45	46	0	28	28
45	86	0	12	12
45	27	0	35	35
46	6	0	44	44
46	19	0	39	39
46	85	1	13	14
47	100	0	9	9
48	79	0	18	18
48	103	0	8	8
50	24	0	41	41
50	99	0	12	12
50	80	0	19	19
50	87	0	17	17
51	81	0	20	20
52	67	0	26	26
52	29	0	42	42
52	43	0	37	37
52	52	0	34	34
52	88	0	18	18
53	106	0	13	13
54	17	0	48	48
55	64	0	31	31
55	102	0	15	15
55	1	0	54	54
55	97	0	17	17
55	108	0	14	14
56	48	0	39	39
57	66	0	31	31
57	72	0	28	28
57	107	0	16	16
57	14	0	51	51
57	42	0	42	42
58	8	0	56	56
58	28	0	48	48
59	95	0	21	21
59	101	0	19	19
60	90	0	26	26
61	96	0	23	23
61	20	0	54	54
61	91	0	27	27
62	69	0	36	36
64	37	0	50	50
65	51	0	48	48
66	94	0	31	31
66	40	0	51	51
66	34	0	53	53
66	50	0	49	49
68	84	0	36	36
69	82	0	37	37
70	63	0	46	46
71	105	0	31	31
76	93	0	41	41
85	83	0	53	53
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
91.776183	175.164051	369.942235	348.753539	
R1_Unpaved_Dist	R2_Unpaved_Dist	R3_Unpaved_Dist	R4_Unpaved_Dist	
10		2		3		5		
Game is Win
Total Enemies = 108
Average First-Shot Delay = 0.009259
Average Kill Delay = 25.953704
