KTS	S	FD	KD	LT
9	1	0	8	8
11	7	0	9	9
17	21	0	11	11
17	20	0	12	12
17	9	0	15	15
19	29	0	11	11
19	15	0	15	15
22	45	0	8	8
23	49	0	8	8
26	4	0	25	25
26	81	0	4	4
27	16	0	23	23
27	50	0	12	12
28	78	0	7	7
28	14	0	24	24
28	27	0	20	20
29	54	0	13	13
30	70	0	11	11
30	12	0	27	27
30	25	0	23	23
30	40	0	19	19
30	61	0	12	12
30	67	0	11	11
30	86	0	6	6
31	11	0	28	28
31	2	0	30	30
31	44	0	19	19
31	57	0	14	14
31	65	0	13	13
31	74	0	11	11
31	87	0	7	7
32	46	0	18	18
32	88	0	8	8
32	28	0	24	24
32	18	0	27	27
32	60	0	15	15
32	73	0	12	12
33	5	0	32	32
33	31	0	24	24
33	39	0	22	22
33	23	0	27	27
33	13	0	30	30
33	37	0	23	23
33	95	0	6	6
34	33	0	25	25
34	75	0	13	13
35	56	0	18	18
35	59	0	18	18
35	96	0	8	8
35	92	0	9	9
35	64	0	17	17
35	17	0	30	30
36	53	0	20	20
36	79	0	15	15
36	89	0	12	12
36	107	0	5	5
36	82	0	14	14
37	3	0	36	36
37	94	0	10	10
37	104	0	7	7
37	63	0	19	19
38	66	0	19	19
38	68	0	19	19
38	43	0	26	26
38	83	0	15	15
38	103	0	8	8
39	10	0	37	37
39	62	0	21	21
39	72	0	19	19
39	90	0	14	14
40	110	0	9	9
40	38	0	30	30
40	47	0	25	25
40	77	0	19	19
40	105	0	10	10
40	99	0	11	11
40	34	0	30	30
41	19	0	36	36
41	58	0	24	24
41	100	0	12	12
41	106	0	11	11
41	24	0	34	34
41	26	0	33	33
41	109	0	10	10
41	71	0	22	22
42	80	0	20	20
42	101	0	12	12
42	69	0	23	23
42	85	0	18	18
42	8	0	40	40
42	22	0	36	36
42	42	0	31	31
42	108	0	11	11
43	52	0	27	27
43	111	0	10	10
44	30	0	35	35
44	119	0	7	7
44	76	0	23	23
44	32	0	35	35
45	36	0	35	35
45	102	0	15	15
46	115	0	11	11
47	116	0	12	12
47	133	0	8	8
47	6	0	45	45
47	117	0	12	12
47	126	0	9	9
47	136	0	7	7
48	128	0	10	10
48	139	0	7	7
48	130	0	9	9
48	112	0	14	14
48	125	0	10	10
49	93	0	23	23
49	123	0	12	12
49	145	0	6	6
49	140	0	7	7
49	114	0	14	14
49	131	0	10	10
49	127	0	11	11
50	35	0	40	40
50	132	0	11	11
50	84	0	27	27
50	143	0	7	7
51	141	0	9	9
51	120	0	14	14
52	97	0	23	23
52	146	0	8	8
52	113	0	17	17
52	91	0	27	27
52	148	0	8	8
52	51	0	37	37
52	129	0	14	14
53	142	0	11	11
53	41	0	42	42
53	151	0	9	9
53	164	0	6	6
54	138	0	14	14
54	156	0	8	8
54	118	0	18	18
55	152	0	10	10
55	168	0	6	6
55	153	0	10	10
55	160	0	8	8
56	149	0	12	12
56	169	0	7	7
56	137	0	16	16
56	159	0	10	10
56	147	0	12	12
57	124	0	20	20
58	162	0	11	11
58	178	0	6	6
59	173	0	7	7
59	177	0	7	7
60	55	0	44	44
61	98	0	32	32
61	165	0	14	14
61	170	0	12	12
62	135	0	22	22
62	161	0	15	15
62	171	0	12	12
62	181	0	7	7
63	167	0	15	15
63	183	0	8	8
63	187	0	7	7
64	188	0	8	8
64	121	0	27	27
64	191	0	7	7
64	174	0	12	12
65	190	0	8	8
65	155	0	19	19
65	154	0	19	19
66	144	0	23	23
66	134	0	26	26
66	150	0	22	22
67	179	0	12	12
67	157	0	21	21
68	198	0	9	9
68	202	0	8	8
69	204	0	9	9
69	208	0	7	7
69	48	0	54	54
70	194	0	12	12
70	193	0	13	13
70	201	0	11	11
71	195	0	13	13
71	182	0	16	16
71	122	0	34	34
71	196	0	13	13
71	210	0	9	9
71	217	0	6	6
71	207	0	9	9
72	199	0	13	13
72	166	0	24	24
72	209	0	10	10
72	180	0	17	17
73	192	0	16	16
73	206	0	12	12
74	185	0	18	18
74	197	0	15	15
75	228	0	7	7
75	186	0	19	19
76	223	0	10	10
76	184	0	20	20
76	189	0	19	19
77	200	0	18	18
77	225	0	10	10
78	226	0	11	11
78	227	0	11	11
78	163	0	31	31
78	172	0	28	28
79	203	0	19	19
79	213	0	16	16
79	230	0	11	11
80	176	0	28	28
80	220	0	15	15
80	234	0	10	10
81	211	0	19	19
81	238	0	7	7
81	247	0	6	6
82	218	0	17	17
82	236	0	9	9
82	246	0	7	7
83	235	0	10	10
83	158	0	37	37
83	232	0	13	13
83	243	0	9	9
83	251	0	7	7
84	215	0	21	21
84	231	0	15	15
84	237	0	11	11
84	258	0	5	5
84	259	0	4	4
85	233	0	15	15
85	214	0	22	22
86	229	0	18	18
86	216	0	22	22
86	257	0	7	7
87	224	0	21	21
87	245	0	12	12
87	263	0	5	5
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
397.000000	397.000000	397.000000	397.000000	
R1_Unpaved_Dist	R2_Unpaved_Dist	R3_Unpaved_Dist	R4_Unpaved_Dist	
3		2		2		3		
Game is Loss
Killed Enemies = 241
Active Enemies = 40
Inactive Enemies = 4
Average First-Shot Delay = 0.000000
Average Kill Delay = 16.360996
